Unique Oil Name,Region,Country,Oil Field Name (OPGEE),Assay Name (PRELIM),Oil Type,API,Sulfur %wt,API Crude Category,Sulfur Category,Production Volume,Onshore/Offshore,Shallow; Deep; Ultra-Deep,Flaring Class,Watery Oil,Gassy Oil,EOR,Overall Crude Emissions Category,Crude Exporter,Location Description,Latitude,Longitude,Total Emissions,Production methods - Downhole pump,Production methods - Water reinjection ,Production methods - Gas reinjection,Production methods - Water flooding,Production methods - Gas lifting,Production methods - Gas flooding,Production methods -Steam flooding,Field location (Country),Field name,Field age (years),Field depth (feet),Oil production volume (bbl/d),Number of producing wells,Number of water injecting wells,Well diameter (inches),Productivity index (bbl/psi-d),Reservoir pressure (psi),API gravity (deg. API),Gas composition - N2 (mol%),Gas composition - CO2 (mol%),Gas composition - C1 (mol%),Gas composition - C2 (mol%),Gas composition - C3 (mol%),Gas composition - C4+ (mol%),Gas composition - H2S (mol%),Gas-to-oil ratio (GOR; scf/bbl oil),Water-to-oil ratio (WOR; bbl water/bbl oil),Water injection ratio (bbl water/bbl oil),Gas lifting injection ratio (scf/bbl liquid),Gas flooding injection ratio (scf/bbl oil),Steam-to-oil ratio (SOR; bbl steam/bbl oil),Fraction of required electricity generated onsite,Fraction of remaining gas reinjected,Fraction of water produced water reinjected,Fraction of steam generation via cogeneration ,Flaring-to-oil ratio (scf/bbl oil),Low carbon richness (semi-arid grasslands),Moderate carbon richness (mixed),High carbon richness (forested),Low intensity development and low oxidation,Moderate intensity development and moderate oxidation,High intensity development and high oxidation,Non-integrated upgrader,Fraction of oil transported by ocean tanker,Fraction of oil transported by barge,Fraction of oil transported by pipeline,Fraction of oil transported by rail,Transport distance (one way; miles) - Ocean tanker, Transport distance (one way; miles) - Barge, Transport distance (one way; miles) - Pipeline,Transport distance (one way; miles) - Rail,Crude API Gravity (deg. API),SCO API Gravity (deg. API),Diluent API Gravity (deg. API),Oil production rate (bbl/d),Hydrocarbon upgraded?,Hydrocarbon diluted?,Mining integrated,Mining non-integrated,In situ - Primary,In situ - SAGD,In situ - CSS,SOR - SAGD (bbl water/bbl bitumen),SOR - CSS (bbl water/bbl bitumen),Fuel intensity primary bitumen extraction - Diesel (MMBtu/bbl),Fuel intensity primary bitumen extraction - Natural gas (MMBtu/bbl),Fuel intensity primary bitumen extraction - Electricity (MMBtu/bbl),Fuel intensity primary bitumen extraction - Coke (MMBtu/bbl),Fuel intensity primary bitumen extraction - Still gas (MMBtu/bbl),Fuel intensity for upgrading - Diesel (MMBtu/bbl),Fuel intensity for upgrading - Natural gas (MMBtu/bbl),Fuel intensity for upgrading - Electricity (MMBtu/bbl),Fuel intensity for upgrading - Coke (MMBtu/bbl),Fuel intensity for upgrading - Still gas (MMBtu/bbl),Venting-to-oil ratio (scf/bbl)
Nigeria Agbami,Sub-Saharan Africa,Nigeria,Agbami,Nigeria Agbami_Chevron ,Conventional,47,0.01%,Ultra-Light,Sweet,Medium,Offshore,Ultra-Deep,Low Flare,Low Water,Medium Gas,EOR, Light ,Crude Net Exporter,"Off coast of Nigeria, 220 miles SouthEast of Lagos",3.44,5.67,471.4,0,0,1,1,0,0,0,Nigeria,Agbami,5,13000,233000,22,11,4.5,,7000,47,,,,,,,,1733,0.3,1.3,,,,1,0.9,1,,90,1,0,0,1,0,0,0,1,0,0,0,6940,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Alaska North Slope,North America,U.S.,Alaska North Slope,Alaskan North Slope_Exxon ,Conventional,28.3,0.32%,Medium,Sweet,High,Onshore,Deep,Low Flare,Low Water,High Gas,EOR, High Gas ,Crude Net Importer,Northern Alaska,70.31,-148.73,556.1,0,0,1,1,1,0,0,US Alaska,ANS,35,7698.199001,545023,1530,855,,,3268.217318,25,,,,,,,,20648,3.69,5.14,1000,30972,,1,0.93,1,,,1,0,0,0,1,0,0,1,0,1,0,7491,0,800,0,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan Azeri Light,Eurasia,Azerbaijan,Azeri Light,Azeri Light_Chevron ,Conventional,35,0.02%,Light,Sweet,High,Offshore,Deep,Minimal Flare,Low Water,Medium Gas,,Light,Crude Net Exporter,Caspian Sea,40.17,51.33,485.3,1,1,0,0,0,0,0,Azerbaijan,Azeri,17,9075,655700,77,30,,,,35,,,,,,,,1299,,,,,,,,,,,1,0,0,1,0,0,0,1,0,1,0,8252,0,518,0,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria Bonny,Sub-Saharan Africa,Nigeria,Bonny,Bonny Light_Chevron ,Conventional,35.3,0.03%,Light,Sweet,Very Low,Onshore,Ultra-Deep,High Flare,Low Water,High Gas,, High Flare ,Crude Net Exporter,"West of Akabuka, North-West of Port Harcourt",5.24,6.63,651.3,0,0,0,0,0,0,0,Nigeria,Bonny,40,11500,2234,33,0,,,2400,35.3,,,,,,,,20849,0.7,,,,,,,,,1652,0,0,1,0,1,0,0,1,0,0,0,6926,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
China Bozhong,Asia-Pacific,China,Bozhong,China Bozhong_Chevron ,Conventional,17.5,0.21%,Heavy,Sweet,Medium,Offshore,Deep,High Flare,Low Water,Medium Gas,, High Flare ,Crude Net Importer,"Bohai Bay, off the coast from Tianjin",38.33,119.43,812.1,1,1,1,0,0,0,0,China,Bozhong,23,10500,90000,88,36,3.5,,1450,17.5,1,5,75,12,3,4,0,7276,1,1,,,,1,0.34,1,,2694,1,0,0,1,0,0,0,1,0,0,0,11801,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UK Brent,Europe,UK,Brent,Brent_Chevron ,Conventional,39,0.04%,Light,Sweet,Very Low,Offshore,Deep,High Flare,Watery Oil,High Gas,, Depleted/Watery Oil ,Crude Net Importer,North Sea West of Bergen,60.9,1.8,558.7,1,0,0,0,0,0,0,UK,Brent,37,8100,1030,160,23,,50,1800,39,,,,,,,,28756,25.35,26.35,104.3,43134.22,,,,1,,728,1,0,0,1,0,0,0,1,0,0,0,5517,0,227,0,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia Duri,Asia-Pacific,Indonesia,Duri,Indonesia Duri ,Conventional,19,0.17%,Heavy,Sweet,Medium,Onshore,Shallow,Minimal Flare,Low Water,Very Low Gas,EOR, High Steam ,Crude Net Importer,"Near Duri town, Central sumatra",1.26,101.13,732.1,1,0,0,0,0,0,1,Indonesia,Duri,55,600,165057,2500,1000,4.5,,100,19,,,,,,,,25,3,,,,4.21,,,,1,5,0,0,1,0,0,1,0,1,0,1,0,13500,0,340,0,,,,,,,,,,,,,,,,,,,,,,,,
Norway Ekofisk,Europe,Norway,Ekofisk,Ekofisk_BP ,Conventional,38.4,0.03%,Light,Sweet,Medium,Offshore,Deep,Minimal Flare,Low Water,Medium Gas,, Light ,Crude Net Exporter,Norwegian Sector of North Sea,56.55,3.21,466.2,0,1,1,0,0,0,0,Norway,Ekofisk,42,10000,102000,80,20,,,5150,38.4,0,3,79,10,4,3,1,1150,0.3,1.3,,,,1,0.25,1,,18,1,0,0,1,0,0,0,1,0,1,0,4942,0,220,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil Frade,Latin America & Caribbean,Brazil,Frade,Brazil Frade_Chevron ,Conventional,19,0.58%,Heavy,Sour,Low,Offshore,Shallow,Minimal Flare,Low Water,Medium Gas,, Heavy ,Crude Net Exporter,"Northeasteast of Rio, http://www.chevron.com/articledocuments/latest/news_203789/1457697f-c289-4781-abce-5b3792c645e1/FradeFieldFactSheet.pdf.cvxn",-21.56,-39.33,576.6,0,1,0,0,1,0,0,Brazil,Frade,4,6730,16912,12,7,,,2900,19,,,,,,,,370,1.3,1.3,580,,,1,,1,,,1,0,0,1,0,0,0,1,0,0,0,6200,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Angola Girassol,Sub-Saharan Africa,Angola,Girassol,Angola Girassol_Exxon ,Conventional,32,0.14%,Light,Sweet,Medium,Onshore,Shallow,High Flare,Low Water,Low Gas,, Conventional ,Crude Net Exporter,Approximate Coordinates,-7.89,12.14,519,0,1,1,0,1,0,0,Angola,Girassol,12,3937,175000,24,20,8,90.9,3655,32,,,,,,,,584,0.5,1.5,30.26,,,1,,1,,,1,0,0,1,0,0,0,1,0,0,0,7984,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
